P(EA),Hprev,Cprev,Deaths,replicate
0,6.857142857,26.28571429,3755,1
0,14.42857143,53.85714286,3666,2
0,8.142857143,27.85714286,3749,3
0,10.28571429,41.28571429,3722,4
0,16.28571429,65.42857143,3745,5
0,9.714285714,44.14285714,3669,6
0,4.714285714,37.42857143,3828,7
0,10.14285714,38,3780,8
0,10.14285714,37.71428571,3761,9
0,11.57142857,46.85714286,3772,10
0,13.85714286,44.14285714,3763,11
0,17.28571429,44.14285714,3692,12
0,12,42.57142857,3752,13
0,13,29.71428571,3866,14
0,11.14285714,39.85714286,3785,15
0,10.57142857,49.28571429,3776,16
0,17.14285714,56.57142857,3764,17
0,9.428571429,34.14285714,3744,18
0,8.714285714,46.14285714,3632,19
0,10.85714286,53.42857143,3707,20
0.1,25.57142857,56.42857143,3213,1
0.1,27.57142857,67.14285714,3137,2
0.1,16.42857143,68,3320,3
0.1,11.85714286,41,3429,4
0.1,10.28571429,65.14285714,3275,5
0.1,18.71428571,54,3410,6
0.1,29.85714286,72,3204,7
0.1,6.285714286,34,3445,8
0.1,27.42857143,65.14285714,3215,9
0.1,37.28571429,83.71428571,2977,10
0.1,28.28571429,74.85714286,3171,11
0.1,18.28571429,58.14285714,3336,12
0.1,34,79.28571429,2954,13
0.1,13.14285714,60.57142857,3370,14
0.1,18.28571429,66.71428571,3302,15
0.1,25.57142857,81.85714286,3169,16
0.1,32.42857143,65.85714286,3098,17
0.1,12.85714286,67.14285714,3320,18
0.1,33.28571429,97.14285714,3143,19
0.1,14.28571429,52.71428571,3230,20
0.2,67.42857143,119.4285714,2246,1
0.2,36,66.28571429,2724,2
0.2,30,65.71428571,2638,3
0.2,23.28571429,65.42857143,2818,4
0.2,42.71428571,90.57142857,2452,5
0.2,40.57142857,79.28571429,2399,6
0.2,5.571428571,32.14285714,2944,7
0.2,24,58,2867,8
0.2,19.28571429,53.71428571,2720,9
0.2,64.57142857,104.1428571,2344,10
0.2,30.14285714,63.28571429,2613,11
0.2,74.42857143,89.71428571,2239,12
0.2,13.71428571,37.85714286,2934,13
0.2,23.71428571,81.28571429,2564,14
0.2,37.14285714,72.71428571,2565,15
0.2,32.71428571,88.42857143,2744,16
0.2,15.85714286,47.14285714,2866,17
0.2,26.42857143,74.71428571,2656,18
0.2,28.42857143,55.57142857,2886,19
0.2,20.42857143,55.71428571,2753,20
0.3,95.42857143,98,1921,1
0.3,74.71428571,84.28571429,2004,2
0.3,149.2857143,123.2857143,1796,3
0.3,107.2857143,115.7142857,1856,4
0.3,673.7142857,225.8571429,1098,5
0.3,63.28571429,89.57142857,1997,6
0.3,55.57142857,49.57142857,2122,7
0.3,166.2857143,153,1710,8
0.3,83.85714286,100.8571429,1902,9
0.3,87.14285714,119.2857143,1952,10
0.3,374.7142857,220.2857143,1495,11
0.3,51,84.42857143,1981,12
0.3,130.7142857,140.7142857,1800,13
0.3,172.4285714,128.7142857,1721,14
0.3,135.1428571,120.4285714,1865,15
0.3,34.42857143,67.57142857,2112,16
0.3,41.28571429,75.71428571,2202,17
0.3,25.28571429,65,2365,18
0.3,266.1428571,181,1591,19
0.3,85.85714286,110.8571429,1934,20
0.4,498.4285714,153.7142857,919,1
0.4,388.7142857,179.8571429,1174,2
0.4,405.1428571,168.5714286,1104,3
0.4,366.2857143,167,1148,4
0.4,340.7142857,168,1192,5
0.4,319.4285714,176.1428571,1230,6
0.4,474.1428571,169.2857143,922,7
0.4,478.7142857,121.5714286,510,8
0.4,0,0,0,9
0.4,262.4285714,48.71428571,223,10
0.4,484.7142857,187.1428571,1025,11
0.4,256.2857143,159.5714286,1405,12
0.4,395.7142857,199.2857143,1165,13
0.4,228.4285714,137.8571429,1376,14
0.4,374.8571429,166.1428571,1134,15
0.4,315.8571429,148,1304,16
0.4,472.5714286,172.8571429,1002,17
0.4,304,171.4285714,1284,18
0.4,532.7142857,127.7142857,590,19
0.4,445.8571429,136,595,20
0.5,109.8571429,27.71428571,90,1
0.5,139.2857143,41.85714286,151,2
0.5,285.5714286,78,343,3
0.5,328.5714286,77,440,4
0.5,192.7142857,48.85714286,287,5
0.5,133.5714286,29.28571429,123,6
0.5,48,12.28571429,57,7
0.5,288,75.85714286,335,8
0.5,76.85714286,14.85714286,75,9
0.5,174,41.14285714,152,10
0.5,211.5714286,61.71428571,201,11
0.5,323.2857143,87.71428571,389,12
0.5,217.5714286,44.14285714,222,13
0.5,305,70.57142857,331,14
0.5,55.28571429,11.57142857,42,15
0.5,236.5714286,68.28571429,255,16
0.5,273.4285714,57.42857143,330,17
0.5,63.71428571,11.28571429,47,18
0.5,244.4285714,44.85714286,253,19
0.5,370.2857143,86.57142857,446,20
0.6,8.142857143,2.142857143,7,1
0.6,7.285714286,1.714285714,10,2
0.6,2.714285714,1,2,3
0.6,27,5.428571429,43,4
0.6,24.42857143,6.285714286,17,5
0.6,14.28571429,1,14,6
0.6,5.285714286,1.285714286,3,7
0.6,14.71428571,6.142857143,14,8
0.6,16.85714286,2.571428571,8,9
0.6,21.85714286,5.142857143,34,10
0.6,9,1.857142857,8,11
0.6,6.285714286,0.428571429,6,12
0.6,4.142857143,0,7,13
0.6,35.85714286,4.428571429,43,14
0.6,2.428571429,1,1,15
0.6,10.85714286,3.714285714,13,16
0.6,4.428571429,1.714285714,5,17
0.6,10.85714286,2.285714286,10,18
0.6,23.28571429,3.571428571,37,19
0.6,10.42857143,1.571428571,20,20
0.7,0,0,0,1
0.7,5.714285714,1.571428571,7,2
0.7,1.428571429,1,1,3
0.7,0,0,0,4
0.7,0,0,0,5
0.7,0,0,0,6
0.7,0,0,0,7
0.7,0,0,0,8
0.7,0,0,2,9
0.7,0,0,0,10
0.7,1.285714286,0.142857143,2,11
0.7,0,0,0,12
0.7,0,0,0,13
0.7,0,0,0,14
0.7,0.285714286,0,0,15
0.7,0,0,0,16
0.7,1.571428571,0.142857143,8,17
0.7,0,0,0,18
0.7,0,0,0,19
0.7,0,0,0,20
0.8,0,0,0,1
0.8,0,0,0,2
0.8,0,0,0,3
0.8,0,0,0,4
0.8,0,0,0,5
0.8,0,0,0,6
0.8,0,0,0,7
0.8,0,0,0,8
0.8,0,0,0,9
0.8,0,0,0,10
0.8,0,0,0,11
0.8,0,0,0,12
0.8,0,0,0,13
0.8,0,0,0,14
0.8,0,0,0,15
0.8,0,0,0,16
0.8,0,0,0,17
0.8,0,0,0,18
0.8,0,0,0,19
0.8,0,0,0,20
0.9,0,0,0,1
0.9,0,0,0,2
0.9,0,0,0,3
0.9,0,0,0,4
0.9,0,0,0,5
0.9,0,0,0,6
0.9,0,0,0,7
0.9,0,0,0,8
0.9,0,0,0,9
0.9,0,0,0,10
0.9,0,0,0,11
0.9,0,0,0,12
0.9,0,0,0,13
0.9,0,0,0,14
0.9,0,0,0,15
0.9,0,0,0,16
0.9,0,0,0,17
0.9,0,0,0,18
0.9,0,0,0,19
0.9,0,0,0,20
1,0,0,0,1
1,0,0,0,2
1,0,0,0,3
1,0,0,0,4
1,0,0,0,5
1,0,0,0,6
1,0,0,0,7
1,0,0,0,8
1,0,0,0,9
1,0,0,0,10
1,0,0,0,11
1,0,0,0,12
1,0,0,0,13
1,0,0,0,14
1,0,0,0,15
1,0,0,0,16
1,0,0,0,17
1,0,0,0,18
1,0,0,0,19
1,0,0,0,20
