incubation_time,infectious_time,r_zero,lock_1_restrict,lock_2_release,repeats
5.737397,2.217596,3.385027,0.328595,0.739766,5.000000
4.456425,3.855690,3.747322,0.503711,0.651676,5.000000
4.154983,2.812768,3.455869,0.098320,0.495293,5.000000
5.086352,3.432345,2.573955,0.867404,0.472097,5.000000
5.815434,2.985746,3.227733,0.939032,0.140146,5.000000
5.483915,3.232805,3.760633,0.822054,0.878754,5.000000
4.842946,2.048894,2.769566,0.221328,0.540037,5.000000
5.135247,3.943645,2.992440,0.286313,0.326024,5.000000
5.400162,2.400086,2.890073,0.618645,0.313054,5.000000
4.160825,2.396065,3.985056,0.580457,0.816770,5.000000
4.964807,3.726013,3.566566,0.781143,0.061807,5.000000
4.924498,2.319109,3.049593,0.993433,0.947359,5.000000
5.971310,2.647529,3.826897,0.542642,0.427856,5.000000
4.296426,2.911400,2.832403,0.724572,0.792292,5.000000
5.539167,2.489128,3.621153,0.042074,0.114310,5.000000
5.649208,3.107721,2.951405,0.010831,0.592208,5.000000
5.343510,2.763389,2.534654,0.382638,0.915224,5.000000
4.701174,3.122462,2.703625,0.401673,0.022284,5.000000
4.779205,3.334047,3.939635,0.243866,0.210473,5.000000
4.027064,3.461256,3.130725,0.646292,0.252621,5.000000
5.874101,3.807953,3.180080,0.703055,0.600736,5.000000
5.259641,3.611037,3.461719,0.180614,0.966796,5.000000
4.360353,2.093651,3.292117,0.446643,0.184701,5.000000
4.610317,2.620093,3.696492,0.882601,0.373130,5.000000
4.486104,3.530897,2.640980,0.128829,0.690946,5.000000
5.606305,2.978124,2.973072,0.899042,0.763058,1.000000
5.159450,2.470617,3.000001,0.116289,0.833949,1.000000
5.770969,2.247377,2.770158,0.167096,0.137859,1.000000
4.332344,2.735866,3.521511,0.345382,0.939342,1.000000
5.549690,3.201306,3.905926,0.600286,0.103601,1.000000
5.289546,2.957638,3.171639,0.307434,0.168903,1.000000
5.742015,3.916041,3.658717,0.130109,0.350397,1.000000
4.048222,3.080061,3.723143,0.740556,0.630128,1.000000
5.856098,2.562633,3.272044,0.679402,0.974127,1.000000
4.954005,2.196454,3.940808,0.552546,0.300185,1.000000
4.138219,3.348252,2.853616,0.063256,0.272657,1.000000
4.567118,2.552293,3.152160,0.494644,0.649127,1.000000
4.692824,2.103374,3.609827,0.025798,0.572359,1.000000
4.865743,3.147034,3.323180,0.716623,0.451970,1.000000
5.428232,3.664306,3.866585,0.980828,0.363898,1.000000
5.270283,2.693743,2.514277,0.856923,0.038654,1.000000
4.740660,2.003050,3.098076,0.942319,0.229200,1.000000
5.514262,3.416139,3.488002,0.412106,0.559667,1.000000
5.923737,3.445579,2.685977,0.366076,0.746316,1.000000
4.425524,2.373212,2.606565,0.830055,0.407452,1.000000
4.543288,3.553588,3.410314,0.769957,0.889458,1.000000
4.202811,3.921363,2.661775,0.579123,0.508621,1.000000
5.065332,2.861866,3.795615,0.233663,0.681213,1.000000
4.241456,3.710922,3.371848,0.257065,0.053255,1.000000
4.995623,3.786500,2.862370,0.455588,0.849008,1.000000
5.889148,3.049619,3.546946,0.144980,0.804322,1.000000
5.021621,3.267225,3.061136,0.265145,0.678840,1.000000
5.595073,2.035908,3.216322,0.050432,0.469235,1.000000
5.374264,3.643419,2.679973,0.775401,0.956989,1.000000
4.780259,3.746870,3.021401,0.954586,0.712428,1.000000
5.220384,2.336057,3.701659,0.435083,0.985081,1.000000
4.411390,2.851629,2.803786,0.359024,0.416371,1.000000
5.706072,2.175732,3.858535,0.906222,0.786935,1.000000
5.328627,2.263535,3.490776,0.750904,0.537104,1.000000
4.513890,3.882868,3.972966,0.628290,0.123428,1.000000
4.664296,3.970902,3.332853,0.173788,0.721830,1.000000
4.065625,3.295198,3.102212,0.390366,0.850356,1.000000
5.041034,2.754200,3.682022,0.473143,0.008083,1.000000
4.392586,2.660061,2.932004,0.687692,0.080243,1.000000
5.167060,2.581494,2.798518,0.976159,0.615143,1.000000
5.992244,3.039401,2.713072,0.565564,0.194144,1.000000
4.302721,3.173818,3.782400,0.812207,0.071166,1.000000
4.597714,2.926064,3.889146,0.519553,0.481680,1.000000
5.833860,3.397022,2.886472,0.205920,0.246120,1.000000
4.092187,2.523074,3.342705,0.879446,0.898578,1.000000
4.806343,2.428336,3.441760,0.297284,0.391278,1.000000
4.197352,2.141041,2.552269,0.082581,0.292879,1.000000
5.455214,3.592634,3.248784,0.665277,0.232499,1.000000
4.905192,3.503671,3.625757,0.000813,0.566255,1.000000
5.634735,3.832063,2.598158,0.538435,0.345284,1.000000
4.235241,2.131890,3.302586,0.279106,0.751504,1.000000
5.103425,3.489968,3.918853,0.635032,0.623904,1.000000
4.350184,2.441638,2.725695,0.312223,0.868057,1.000000
5.209124,2.702735,2.629019,0.197088,0.387557,1.000000
4.477357,3.991931,3.422542,0.808239,0.335297,1.000000
5.661427,2.280829,2.580355,0.795299,0.525577,1.000000
5.959128,2.342239,3.585112,0.915478,0.282515,1.000000
5.187285,2.220571,3.257342,0.653240,0.011212,1.000000
4.659849,3.185762,2.526783,0.523979,0.662738,1.000000
5.686207,3.014701,3.968263,0.460231,0.775460,1.000000
5.469302,3.635045,2.743453,0.920054,0.044963,1.000000
4.528402,2.509464,3.123258,0.151413,0.097009,1.000000
4.832518,2.832965,3.653625,0.733014,0.990813,1.000000
5.387451,3.258679,3.202256,0.480308,0.926958,1.000000
5.579038,3.079313,3.840617,0.073390,0.442011,1.000000
4.888490,2.070899,3.364465,0.595584,0.820418,1.000000
5.311436,3.568041,3.506014,0.034587,0.159956,1.000000
4.271987,3.377003,3.561561,0.372149,0.434858,1.000000
4.013449,3.779871,3.028588,0.212026,0.587741,1.000000
4.735284,3.686312,2.820504,0.697893,0.173672,1.000000
5.796348,3.878453,2.910145,0.100259,0.903736,1.000000
4.622522,3.309554,3.817845,0.964901,0.706238,1.000000
5.000389,2.882719,2.941174,0.849376,0.263847,1.000000
5.915433,2.795423,3.082903,0.425286,0.510781,1.000000
4.110882,2.607598,3.732685,0.330108,0.207425,1.000000
